Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-04-12 03:54:08,BTCUSD,BUY,60306.09,0.000332,20.02162188,0.00002727,BNB
2021-04-12 03:50:48,NEOUSD,BUY,63.484,0.2,12.69680000,0.00001746,BNB
2021-04-12 03:50:11,NEOUSD,BUY,63.483,0.173,10.98255900,0.00001515,BNB
2021-04-04 03:42:26,ETHUSD,BUY,2011.77,0.01,20.11770000,0.00004547,BNB
2021-04-04 03:24:07,BTCUSD,BUY,57225.77,0.000175,10.01450975,0.00002336,BNB
2021-04-04 03:18:52,ADAUSD,BUY,1.1777,34,40.04180000,0.00009074,BNB
2021-04-01 01:29:14,ADAUSD,BUY,1.1888,84.1,99.97808000,0.00024748,BNB
2021-03-31 02:52:40,ADAUSD,BUY,1.1932,63,75.17160000,0.00018405,BNB
2021-03-29 20:49:00,ADAUSD,BUY,1.2046,85,102.39100000,0.00028116,BNB
2021-03-29 20:38:30,BNBUSD,BUY,273.6677,0.15,41.05015500,0.0001125,BNB
2021-03-18 02:54:30,ADAUSD,BUY,1.3999,8.7,12.17913000,0.0087,ADA
2021-03-18 02:45:31,BTCUSD,BUY,59008.19,0.000678,40.00755282,0.00000068,BTC
2021-03-18 02:32:56,XLMUSD,SELL,0.4064,82.6,33.56864000,0.0336,USD
2021-03-17 01:08:36,ADAUSD,BUY,1.2183,24.6,29.97018000,0.0246,ADA
2021-03-15 01:54:40,ADAUSD,BUY,1.0588,46,48.70480000,0.046,ADA
2021-03-15 01:41:14,XLMUSD,SELL,0.393,247.9,97.42470000,0.0974,USD